id,Markdown data to construct field,narrative,Active,Role,Religious practice or teaching,Figures,Monasteries,Figure name,Monastery name,Formula
93,,,False,,,tm.fig.33,tm.mon.5,"""The First Dzogchen Drubwang, Pema Rigdzin""",Drepung,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Drepung](tm.mon.5)|||"""
94,,,False,,,tm.fig.33,tm.mon.60,"""The First Dzogchen Drubwang, Pema Rigdzin""",Daklha Gampo,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Daklha Gampo](tm.mon.60)|||"""
95,,,False,,,tm.fig.33,tm.mon.49,"""The First Dzogchen Drubwang, Pema Rigdzin""",Taklung,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Taklung](tm.mon.49)|||"""
96,,,False,,,tm.fig.33,tm.mon.12,"""The First Dzogchen Drubwang, Pema Rigdzin""",Tsurphu,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Tsurphu](tm.mon.12)|||"""
97,,,False,,,tm.fig.33,tm.mon.20,"""The First Dzogchen Drubwang, Pema Rigdzin""",Samye,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Samye](tm.mon.20)|||"""
98,,,False,,,tm.fig.33,tm.mon.75,"""The First Dzogchen Drubwang, Pema Rigdzin""",Chamdo Jampa Ling,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Chamdo Jampa Ling](tm.mon.75)|||"""
99,,,False,,,tm.fig.33,tm.mon.40,"""The First Dzogchen Drubwang, Pema Rigdzin""",Reting,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Reting](tm.mon.40)|||"""
100,,,False,,,tm.fig.33,tm.mon.90,"""The First Dzogchen Drubwang, Pema Rigdzin""",Drak Yongdzong,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Drak Yongdzong](tm.mon.90)|||"""
101,,,False,,,tm.fig.34,tm.mon.7,Patrul Orgyen Jigme Chokyi Wangpo,Dzogchen,[Patrul Orgyen Jigme Chokyi Wangpo](tm.fig.34)|[Dzogchen](tm.mon.7)|||
102,,,False,,,tm.fig.34,tm.mon.53,Patrul Orgyen Jigme Chokyi Wangpo,Palge Samten Ling,[Patrul Orgyen Jigme Chokyi Wangpo](tm.fig.34)|[Palge Samten Ling](tm.mon.53)|||
103,,,False,,,tm.fig.34,tm.mon.61,Patrul Orgyen Jigme Chokyi Wangpo,Dzagyel,[Patrul Orgyen Jigme Chokyi Wangpo](tm.fig.34)|[Dzagyel](tm.mon.61)|||
104,,,False,,,tm.fig.36,tm.mon.54,Buton Rinchen Drup,Zhalu,[Buton Rinchen Drup](tm.fig.36)|[Zhalu](tm.mon.54)|||
105,,,False,,,tm.fig.36,tm.mon.44,Buton Rinchen Drup,Nartang,[Buton Rinchen Drup](tm.fig.36)|[Nartang](tm.mon.44)|||
106,,,False,,,tm.fig.36,tm.mon.27,Buton Rinchen Drup,Tsel Gungtang,[Buton Rinchen Drup](tm.fig.36)|[Tsel Gungtang](tm.mon.27)|||
107,,,False,,,tm.fig.36,tm.mon.13,Buton Rinchen Drup,Sakya,[Buton Rinchen Drup](tm.fig.36)|[Sakya](tm.mon.13)|||
108,,,False,,,tm.fig.37,tm.mon.55,Vanaratna,Densatil,[Vanaratna](tm.fig.37)|[Densatil](tm.mon.55)|||
109,,,False,,,tm.fig.37,tm.mon.57,Vanaratna,Ralung,[Vanaratna](tm.fig.37)|[Ralung](tm.mon.57)|||
110,,,False,,,tm.fig.37,tm.mon.81,Vanaratna,Pelkhor Chode,[Vanaratna](tm.fig.37)|[Pelkhor Chode](tm.mon.81)|||
111,,,False,,,tm.fig.37,tm.mon.20,Vanaratna,Samye,[Vanaratna](tm.fig.37)|[Samye](tm.mon.20)|||
112,,,False,,,tm.fig.37,tm.mon.13,Vanaratna,Sakya,[Vanaratna](tm.fig.37)|[Sakya](tm.mon.13)|||
113,,,False,,,tm.fig.37,tm.mon.94,Vanaratna,Lhasa Tsuklakhang,[Vanaratna](tm.fig.37)|[Lhasa Tsuklakhang](tm.mon.94)|||
114,,,False,,,tm.fig.38,tm.mon.5,"""Fifth Dalai Lama, Ngawang Lobzang Gyatso""",Drepung,"""[Fifth Dalai Lama, Ngawang Lobzang Gyatso](tm.fig.38)|[Drepung](tm.mon.5)|||"""
115,,,False,,,tm.fig.38,tm.mon.56,"""Fifth Dalai Lama, Ngawang Lobzang Gyatso""",Arik Gonchen,"""[Fifth Dalai Lama, Ngawang Lobzang Gyatso](tm.fig.38)|[Arik Gonchen](tm.mon.56)|||"""
116,,,False,,,tm.fig.38,tm.mon.94,"""Fifth Dalai Lama, Ngawang Lobzang Gyatso""",Lhasa Tsuklakhang,"""[Fifth Dalai Lama, Ngawang Lobzang Gyatso](tm.fig.38)|[Lhasa Tsuklakhang](tm.mon.94)|||"""
117,,,False,,,tm.fig.38,tm.mon.48,"""Fifth Dalai Lama, Ngawang Lobzang Gyatso""",Potala,"""[Fifth Dalai Lama, Ngawang Lobzang Gyatso](tm.fig.38)|[Potala](tm.mon.48)|||"""
118,,,False,,,tm.fig.39,tm.mon.57,Dolpopa Sherab Gyaltsen,Ralung,[Dolpopa Sherab Gyaltsen](tm.fig.39)|[Ralung](tm.mon.57)|||
119,,,False,,,tm.fig.39,tm.mon.10,Dolpopa Sherab Gyaltsen,Jonang,[Dolpopa Sherab Gyaltsen](tm.fig.39)|[Jonang](tm.mon.10)|||
120,,,False,,,tm.fig.39,tm.mon.12,Dolpopa Sherab Gyaltsen,Tsurphu,[Dolpopa Sherab Gyaltsen](tm.fig.39)|[Tsurphu](tm.mon.12)|||
122,,,False,,,tm.fig.39,tm.mon.76,Dolpopa Sherab Gyaltsen,Nenying,[Dolpopa Sherab Gyaltsen](tm.fig.39)|[Nenying](tm.mon.76)|||
123,,,False,,,tm.fig.39,tm.mon.13,Dolpopa Sherab Gyaltsen,Sakya,[Dolpopa Sherab Gyaltsen](tm.fig.39)|[Sakya](tm.mon.13)|||
124,,,False,,,tm.fig.40,tm.mon.36,14th Karmapa Tekchok Dorje,Karma Gon,[14th Karmapa Tekchok Dorje](tm.fig.40)|[Karma Gon](tm.mon.36)|||
125,,,False,,,tm.fig.40,tm.mon.12,14th Karmapa Tekchok Dorje,Tsurphu,[14th Karmapa Tekchok Dorje](tm.fig.40)|[Tsurphu](tm.mon.12)|||
126,,,False,,,tm.fig.41,tm.mon.20,Pang Lotsawa Lodro Tenpa,Samye,[Pang Lotsawa Lodro Tenpa](tm.fig.41)|[Samye](tm.mon.20)|||
127,,,False,,,tm.fig.41,tm.mon.62,Pang Lotsawa Lodro Tenpa,Bodong E,[Pang Lotsawa Lodro Tenpa](tm.fig.41)|[Bodong E](tm.mon.62)|||
128,,,False,,,tm.fig.42,tm.mon.28,Arik Geshe Jampa Gelek Gyeltsen,Kumbum Jampa Ling,[Arik Geshe Jampa Gelek Gyeltsen](tm.fig.42)|[Kumbum Jampa Ling](tm.mon.28)|||
129,,,False,,,tm.fig.42,tm.mon.63,Arik Geshe Jampa Gelek Gyeltsen,Purbuchok,[Arik Geshe Jampa Gelek Gyeltsen](tm.fig.42)|[Purbuchok](tm.mon.63)|||
130,,,False,,,tm.fig.42,tm.mon.71,Arik Geshe Jampa Gelek Gyeltsen,Amdo Chubzang,[Arik Geshe Jampa Gelek Gyeltsen](tm.fig.42)|[Amdo Chubzang](tm.mon.71)|||
131,,,False,,,tm.fig.43,tm.mon.23,Khedrup Norzang Gyatso,Ngor,[Khedrup Norzang Gyatso](tm.fig.43)|[Ngor](tm.mon.23)|||
132,,,False,,,tm.fig.43,tm.mon.13,Khedrup Norzang Gyatso,Sakya,[Khedrup Norzang Gyatso](tm.fig.43)|[Sakya](tm.mon.13)|||
133,,,False,,,tm.fig.44,tm.mon.39,Nyima Drakpa,Mindroling,[Nyima Drakpa](tm.fig.44)|[Mindroling](tm.mon.39)|||
134,,,False,,,tm.fig.44,tm.mon.7,Nyima Drakpa,Dzogchen,[Nyima Drakpa](tm.fig.44)|[Dzogchen](tm.mon.7)|||
135,,,False,,,tm.fig.44,tm.mon.15,Nyima Drakpa,Shechen,[Nyima Drakpa](tm.fig.44)|[Shechen](tm.mon.15)|||
136,,,False,,,tm.fig.44,tm.mon.20,Nyima Drakpa,Samye,[Nyima Drakpa](tm.fig.44)|[Samye](tm.mon.20)|||
137,,,False,,,tm.fig.44,tm.mon.65,Nyima Drakpa,Lhundrubteng,[Nyima Drakpa](tm.fig.44)|[Lhundrubteng](tm.mon.65)|||
138,,,False,,,tm.fig.44,tm.mon.19,Nyima Drakpa,Pelri Osel Tekchenling,[Nyima Drakpa](tm.fig.44)|[Pelri Osel Tekchenling](tm.mon.19)|||
139,,,False,,,tm.fig.45,tm.mon.7,"""The Third Dodrubchen, Jigme Tenpai Nyima""",Dzogchen,"""[The Third Dodrubchen, Jigme Tenpai Nyima](tm.fig.45)|[Dzogchen](tm.mon.7)|||"""
140,,,False,,,tm.fig.45,tm.mon.66,"""The Third Dodrubchen, Jigme Tenpai Nyima""",Dodrupchen,"""[The Third Dodrubchen, Jigme Tenpai Nyima](tm.fig.45)|[Dodrupchen](tm.mon.66)|||"""
141,,,False,,,tm.fig.45,tm.mon.61,"""The Third Dodrubchen, Jigme Tenpai Nyima""",Dzagyel,"""[The Third Dodrubchen, Jigme Tenpai Nyima](tm.fig.45)|[Dzagyel](tm.mon.61)|||"""
142,,,False,,,tm.fig.46,tm.mon.55,Pakmodrupa Dorje Gyalpo,Densatil,[Pakmodrupa Dorje Gyalpo](tm.fig.46)|[Densatil](tm.mon.55)|||
143,,,False,,,tm.fig.46,tm.mon.67,Pakmodrupa Dorje Gyalpo,Jang Tana,[Pakmodrupa Dorje Gyalpo](tm.fig.46)|[Jang Tana](tm.mon.67)|||
144,,,False,,,tm.fig.47,tm.mon.10,Chokle Namgyel,Jonang,[Chokle Namgyel](tm.fig.47)|[Jonang](tm.mon.10)|||
145,,,False,,,tm.fig.47,tm.mon.68,Chokle Namgyel,Drakram,[Chokle Namgyel](tm.fig.47)|[Drakram](tm.mon.68)|||
146,,,False,,,tm.fig.47,tm.mon.13,Chokle Namgyel,Sakya,[Chokle Namgyel](tm.fig.47)|[Sakya](tm.mon.13)|||
147,,,False,,,tm.fig.47,tm.mon.83,Chokle Namgyel,Sekharchung,[Chokle Namgyel](tm.fig.47)|[Sekharchung](tm.mon.83)|||
148,,,False,,,tm.fig.48,tm.mon.57,"""Second Drukchen, Kunga Peljor""",Ralung,"""[Second Drukchen, Kunga Peljor](tm.fig.48)|[Ralung](tm.mon.57)|||"""
149,,,False,,,tm.fig.49,tm.mon.5,"""The Second Changkya, Ngawang Lobzang Choden""",Drepung,"""[The Second Changkya, Ngawang Lobzang Choden](tm.fig.49)|[Drepung](tm.mon.5)|||"""
150,,,False,,,tm.fig.49,tm.mon.37,"""The Second Changkya, Ngawang Lobzang Choden""",Tashilhunpo,"""[The Second Changkya, Ngawang Lobzang Choden](tm.fig.49)|[Tashilhunpo](tm.mon.37)|||"""
151,,,False,,,tm.fig.49,tm.mon.28,"""The Second Changkya, Ngawang Lobzang Choden""",Kumbum Jampa Ling,"""[The Second Changkya, Ngawang Lobzang Choden](tm.fig.49)|[Kumbum Jampa Ling](tm.mon.28)|||"""
152,,,False,,,tm.fig.49,tm.mon.69,"""The Second Changkya, Ngawang Lobzang Choden""",Labrang Tashikhyil,"""[The Second Changkya, Ngawang Lobzang Choden](tm.fig.49)|[Labrang Tashikhyil](tm.mon.69)|||"""
153,,,False,,,tm.fig.49,tm.mon.42,"""The Second Changkya, Ngawang Lobzang Choden""",Gonlung Jampa Ling,"""[The Second Changkya, Ngawang Lobzang Choden](tm.fig.49)|[Gonlung Jampa Ling](tm.mon.42)|||"""
154,,,False,,,tm.fig.104,tm.mon.13,"""The First Samding Dorje Phakmo, Chokyi Dronma""",Sakya,"""[The First Samding Dorje Phakmo, Chokyi Dronma](tm.fig.104)|[Sakya](tm.mon.13)|||"""
155,,,False,,,tm.fig.106,tm.mon.20,Yeshe Tsogyel,Samye,[Yeshe Tsogyel](tm.fig.106)|[Samye](tm.mon.20)|||
156,,,False,,,tm.fig.106,tm.mon.90,Yeshe Tsogyel,Drak Yongdzong,[Yeshe Tsogyel](tm.fig.106)|[Drak Yongdzong](tm.mon.90)|||
157,,,False,,,tm.fig.102,tm.mon.101,Machik Labdron,Dingri Langkhor,[Machik Labdron](tm.fig.102)|[Dingri Langkhor](tm.mon.101)|||
158,,,False,,,tm.fig.102,tm.mon.102,Machik Labdron,Zangri Kangmar,[Machik Labdron](tm.fig.102)|[Zangri Kangmar](tm.mon.102)|||
159,,,False,,,tm.fig.104,tm.mon.103,"""The First Samding Dorje Phakmo, Chokyi Dronma""",Porong Pelmo Choding,"""[The First Samding Dorje Phakmo, Chokyi Dronma](tm.fig.104)|[Porong Pelmo Choding](tm.mon.103)|||"""
160,,,False,,,tm.fig.104,tm.mon.104,"""The First Samding Dorje Phakmo, Chokyi Dronma""",Chakzam Chuwori,"""[The First Samding Dorje Phakmo, Chokyi Dronma](tm.fig.104)|[Chakzam Chuwori](tm.mon.104)|||"""
161,,,False,,,tm.fig.104,tm.mon.105,"""The First Samding Dorje Phakmo, Chokyi Dronma""",Samding,"""[The First Samding Dorje Phakmo, Chokyi Dronma](tm.fig.104)|[Samding](tm.mon.105)|||"""
162,,,False,,,tm.fig.104,tm.mon.106,"""The First Samding Dorje Phakmo, Chokyi Dronma""",Tsibri,"""[The First Samding Dorje Phakmo, Chokyi Dronma](tm.fig.104)|[Tsibri](tm.mon.106)|||"""
163,,,False,,,tm.fig.106,tm.mon.107,Yeshe Tsogyel,Samye Chimpu,[Yeshe Tsogyel](tm.fig.106)|[Samye Chimpu](tm.mon.107)|||
164,,,False,,,tm.fig.106,tm.mon.108,Yeshe Tsogyel,Paro Taktsang,[Yeshe Tsogyel](tm.fig.106)|[Paro Taktsang](tm.mon.108)|||
165,,,False,,,tm.fig.107,tm.mon.109,Gelongma Pelmo,Bodhgaya,[Gelongma Pelmo](tm.fig.107)|[Bodhgaya](tm.mon.109)|||
166,,,False,,,tm.fig.107,tm.mon.110,Gelongma Pelmo,Chobor,[Gelongma Pelmo](tm.fig.107)|[Chobor](tm.mon.110)|||
167,,,False,,,tm.fig.108,tm.mon.111,Machik Zhama,Kharta Tarpaling,[Machik Zhama](tm.fig.108)|[Kharta Tarpaling](tm.mon.111)|||
168,,,False,,,tm.fig.109,tm.mon.112,Sonam Peldren,Ya Nga Chamda Ganden Khacho Ling,[Sonam Peldren](tm.fig.109)|[Ya Nga Chamda Ganden Khacho Ling](tm.mon.112)|||
169,,,False,,,tm.fig.110,tm.mon.113,Kunzang Chokyi Drolma,Shukchung Monastery,[Kunzang Chokyi Drolma](tm.fig.110)|[Shukchung Monastery](tm.mon.113)|||
170,,,False,,,tm.fig.111,tm.mon.10,Jetsunma Kung Trinle Wangmo,Jonang,[Jetsunma Kung Trinle Wangmo](tm.fig.111)|[Jonang](tm.mon.10)|||
171,,,False,,,tm.fig.111,tm.mon.114,Jetsunma Kung Trinle Wangmo,Takten Punstok Ling,[Jetsunma Kung Trinle Wangmo](tm.fig.111)|[Takten Punstok Ling](tm.mon.114)|||
172,,,False,,,tm.fig.112,tm.mon.39,Mingyur Peldron,Mindroling,[Mingyur Peldron](tm.fig.112)|[Mindroling](tm.mon.39)|||
173,,,False,,,tm.fig.113,tm.mon.7,Tsering Wangmo,Dzogchen,[Tsering Wangmo](tm.fig.113)|[Dzogchen](tm.mon.7)|||
174,,,False,,,tm.fig.113,tm.mon.115,Tsering Wangmo,Drakkar Tashiding,[Tsering Wangmo](tm.fig.113)|[Drakkar Tashiding](tm.mon.115)|||
175,,,False,,,tm.fig.114,tm.mon.12,Khendro Tsering Chodron,Tsurphu,[Khendro Tsering Chodron](tm.fig.114)|[Tsurphu](tm.mon.12)|||
176,,,False,,,tm.fig.114,tm.mon.20,Khendro Tsering Chodron,Samye,[Khendro Tsering Chodron](tm.fig.114)|[Samye](tm.mon.20)|||
177,,,False,,,tm.fig.114,tm.mon.30,Khendro Tsering Chodron,Dzongsar,[Khendro Tsering Chodron](tm.fig.114)|[Dzongsar](tm.mon.30)|||
178,,,False,,,tm.fig.114,tm.mon.13,Khendro Tsering Chodron,Sakya,[Khendro Tsering Chodron](tm.fig.114)|[Sakya](tm.mon.13)|||
179,,,False,,,tm.fig.114,tm.mon.109,Khendro Tsering Chodron,Bodhgaya,[Khendro Tsering Chodron](tm.fig.114)|[Bodhgaya](tm.mon.109)|||
180,,,False,,,tm.fig.114,tm.mon.116,Khendro Tsering Chodron,Yamdrok Lake,[Khendro Tsering Chodron](tm.fig.114)|[Yamdrok Lake](tm.mon.116)|||
181,,,False,,,tm.fig.114,tm.mon.117,Khendro Tsering Chodron,Lerab Ling,[Khendro Tsering Chodron](tm.fig.114)|[Lerab Ling](tm.mon.117)|||
182,,,False,,,tm.fig.114,tm.mon.118,Khendro Tsering Chodron,Khyungtak,[Khendro Tsering Chodron](tm.fig.114)|[Khyungtak](tm.mon.118)|||
183,,,False,,,tm.fig.115,tm.mon.119,Ani Trinle Chodron,Taser,[Ani Trinle Chodron](tm.fig.115)|[Taser](tm.mon.119)|||
184,,,False,,,tm.fig.115,tm.mon.120,Ani Trinle Chodron,Ru Gonsar,[Ani Trinle Chodron](tm.fig.115)|[Ru Gonsar](tm.mon.120)|||
185,,,False,,,tm.fig.50,tm.mon.13,Yonten Gyatso,Sakya,[Yonten Gyatso](tm.fig.50)|[Sakya](tm.mon.13)|||
186,,,False,,,tm.fig.50,tm.mon.121,Yonten Gyatso,Dar Drongmoche,[Yonten Gyatso](tm.fig.50)|[Dar Drongmoche](tm.mon.121)|||
187,,,False,,,tm.fig.51,tm.mon.39,Pema Rangdol,Mindroling,[Pema Rangdol](tm.fig.51)|[Mindroling](tm.mon.39)|||
188,,,False,,,tm.fig.51,tm.mon.4,Pema Rangdol,Dorje Drak,[Pema Rangdol](tm.fig.51)|[Dorje Drak](tm.mon.4)|||
189,,,False,,,tm.fig.51,tm.mon.37,Pema Rangdol,Tashilhunpo,[Pema Rangdol](tm.fig.51)|[Tashilhunpo](tm.mon.37)|||
190,,,False,,,tm.fig.51,tm.mon.20,Pema Rangdol,Samye,[Pema Rangdol](tm.fig.51)|[Samye](tm.mon.20)|||
191,,,False,,,tm.fig.51,tm.mon.71,Pema Rangdol,Amdo Chubzang,[Pema Rangdol](tm.fig.51)|[Amdo Chubzang](tm.mon.71)|||
192,,,False,,,tm.fig.52,tm.mon.8,"""The Eighth Ganden Tripa, Monlam Pelwa""",Ganden,"""[The Eighth Ganden Tripa, Monlam Pelwa](tm.fig.52)|[Ganden](tm.mon.8)|||"""
193,,,False,,,tm.fig.52,tm.mon.5,"""The Eighth Ganden Tripa, Monlam Pelwa""",Drepung,"""[The Eighth Ganden Tripa, Monlam Pelwa](tm.fig.52)|[Drepung](tm.mon.5)|||"""
194,,,False,,,tm.fig.52,tm.mon.37,"""The Eighth Ganden Tripa, Monlam Pelwa""",Tashilhunpo,"""[The Eighth Ganden Tripa, Monlam Pelwa](tm.fig.52)|[Tashilhunpo](tm.mon.37)|||"""
195,,,False,,,tm.fig.53,tm.mon.32,Dudul Dorje,Katok,[Dudul Dorje](tm.fig.53)|[Katok](tm.mon.32)|||
196,,,False,,,tm.fig.53,tm.mon.52,Dudul Dorje,Pelyul,[Dudul Dorje](tm.fig.53)|[Pelyul](tm.mon.52)|||
197,,,False,,,tm.fig.53,tm.mon.23,Dudul Dorje,Ngor,[Dudul Dorje](tm.fig.53)|[Ngor](tm.mon.23)|||
198,,,False,,,tm.fig.53,tm.mon.20,Dudul Dorje,Samye,[Dudul Dorje](tm.fig.53)|[Samye](tm.mon.20)|||
199,,,False,,,tm.fig.53,tm.mon.65,Dudul Dorje,Lhundrubteng,[Dudul Dorje](tm.fig.53)|[Lhundrubteng](tm.mon.65)|||
200,,,False,,,tm.fig.53,tm.mon.72,Dudul Dorje,Bangri Jokpo,[Dudul Dorje](tm.fig.53)|[Bangri Jokpo](tm.mon.72)|||
201,,,False,,,tm.fig.53,tm.mon.13,Dudul Dorje,Sakya,[Dudul Dorje](tm.fig.53)|[Sakya](tm.mon.13)|||
203,,,False,,,tm.fig.53,tm.mon.94,Dudul Dorje,Lhasa Tsuklakhang,[Dudul Dorje](tm.fig.53)|[Lhasa Tsuklakhang](tm.mon.94)|||
204,,,False,,,tm.fig.53,tm.mon.96,Dudul Dorje,Muksang,[Dudul Dorje](tm.fig.53)|[Muksang](tm.mon.96)|||
205,,,False,,,tm.fig.54,tm.mon.15,"""The Fourth Shechen Gyaltsab, Pema Namgyel""",Shechen,"""[The Fourth Shechen Gyaltsab, Pema Namgyel](tm.fig.54)|[Shechen](tm.mon.15)|||"""
206,,,False,,,tm.fig.55,tm.mon.36,"""The Ninth Situ, Pema Nyinje Wangpo""",Karma Gon,"""[The Ninth Situ, Pema Nyinje Wangpo](tm.fig.55)|[Karma Gon](tm.mon.36)|||"""
207,,,False,,,tm.fig.55,tm.mon.17,"""The Ninth Situ, Pema Nyinje Wangpo""",Pelpung,"""[The Ninth Situ, Pema Nyinje Wangpo](tm.fig.55)|[Pelpung](tm.mon.17)|||"""
208,,,False,,,tm.fig.56,tm.mon.54,Sabzang Mati Panchen Lodro Gyeltsen,Zhalu,[Sabzang Mati Panchen Lodro Gyeltsen](tm.fig.56)|[Zhalu](tm.mon.54)|||
209,,,False,,,tm.fig.56,tm.mon.57,Sabzang Mati Panchen Lodro Gyeltsen,Ralung,[Sabzang Mati Panchen Lodro Gyeltsen](tm.fig.56)|[Ralung](tm.mon.57)|||
210,,,False,,,tm.fig.56,tm.mon.10,Sabzang Mati Panchen Lodro Gyeltsen,Jonang,[Sabzang Mati Panchen Lodro Gyeltsen](tm.fig.56)|[Jonang](tm.mon.10)|||
211,,,False,,,tm.fig.56,tm.mon.46,Sabzang Mati Panchen Lodro Gyeltsen,Nyetang Drolma Lhakang,[Sabzang Mati Panchen Lodro Gyeltsen](tm.fig.56)|[Nyetang Drolma Lhakang](tm.mon.46)|||
212,,,False,,,tm.fig.56,tm.mon.74,Sabzang Mati Panchen Lodro Gyeltsen,Sabzang Ganden,[Sabzang Mati Panchen Lodro Gyeltsen](tm.fig.56)|[Sabzang Ganden](tm.mon.74)|||
213,,,False,,,tm.fig.56,tm.mon.13,Sabzang Mati Panchen Lodro Gyeltsen,Sakya,[Sabzang Mati Panchen Lodro Gyeltsen](tm.fig.56)|[Sakya](tm.mon.13)|||
214,,,False,,,tm.fig.57,tm.mon.75,"""The First Purchok, Ngawang Jampa""",Chamdo Jampa Ling,"""[The First Purchok, Ngawang Jampa](tm.fig.57)|[Chamdo Jampa Ling](tm.mon.75)|||"""
215,,,False,,,tm.fig.57,tm.mon.63,"""The First Purchok, Ngawang Jampa""",Purbuchok,"""[The First Purchok, Ngawang Jampa](tm.fig.57)|[Purbuchok](tm.mon.63)|||"""
216,,,False,,,tm.fig.58,tm.mon.54,Khyenrab Wangchuk Drakpa Zangpo,Zhalu,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Zhalu](tm.mon.54)|||
217,,,False,,,tm.fig.58,tm.mon.8,Khyenrab Wangchuk Drakpa Zangpo,Ganden,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Ganden](tm.mon.8)|||
218,,,False,,,tm.fig.58,tm.mon.44,Khyenrab Wangchuk Drakpa Zangpo,Nartang,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Nartang](tm.mon.44)|||
219,,,False,,,tm.fig.58,tm.mon.11,Khyenrab Wangchuk Drakpa Zangpo,Sangpu,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Sangpu](tm.mon.11)|||
220,,,False,,,tm.fig.58,tm.mon.76,Khyenrab Wangchuk Drakpa Zangpo,Nenying,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Nenying](tm.mon.76)|||
221,,,False,,,tm.fig.58,tm.mon.87,Khyenrab Wangchuk Drakpa Zangpo,Rato,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Rato](tm.mon.87)|||
222,,,False,,,tm.fig.58,tm.mon.89,Khyenrab Wangchuk Drakpa Zangpo,Taktse Rinchen Gang,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Taktse Rinchen Gang](tm.mon.89)|||
223,,,False,,,tm.fig.58,tm.mon.13,Khyenrab Wangchuk Drakpa Zangpo,Sakya,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Sakya](tm.mon.13)|||
224,,,False,,,tm.fig.58,tm.mon.62,Khyenrab Wangchuk Drakpa Zangpo,Bodong E,[Khyenrab Wangchuk Drakpa Zangpo ](tm.fig.58)|[Bodong E](tm.mon.62)|||
225,,,False,,,tm.fig.59,tm.mon.4,"""The Fourth Dorje Drak Rigdzin, Pema Trinle""",Dorje Drak,"""[The Fourth Dorje Drak Rigdzin, Pema Trinle](tm.fig.59)|[Dorje Drak](tm.mon.4)|||"""
226,,,False,,,tm.fig.59,tm.mon.77,"""The Fourth Dorje Drak Rigdzin, Pema Trinle""",Monkhar Namseling,"""[The Fourth Dorje Drak Rigdzin, Pema Trinle](tm.fig.59)|[Monkhar Namseling](tm.mon.77)|||"""
227,,,False,,,tm.fig.59,tm.mon.90,"""The Fourth Dorje Drak Rigdzin, Pema Trinle""",Drak Yongdzong,"""[The Fourth Dorje Drak Rigdzin, Pema Trinle](tm.fig.59)|[Drak Yongdzong](tm.mon.90)|||"""
228,,,False,,,tm.fig.60,tm.mon.32,"""The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro""",Katok,"""[The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro](tm.fig.60)|[Katok](tm.mon.32)|||"""
229,,,False,,,tm.fig.60,tm.mon.15,"""The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro""",Shechen,"""[The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro](tm.fig.60)|[Shechen](tm.mon.15)|||"""
230,,,False,,,tm.fig.60,tm.mon.23,"""The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro""",Ngor,"""[The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro](tm.fig.60)|[Ngor](tm.mon.23)|||"""
231,,,False,,,tm.fig.60,tm.mon.78,"""The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro""",Adzom Gar,"""[The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro](tm.fig.60)|[Adzom Gar](tm.mon.78)|||"""
232,,,False,,,tm.fig.60,tm.mon.30,"""The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro""",Dzongsar,"""[The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro](tm.fig.60)|[Dzongsar](tm.mon.30)|||"""
233,,,False,,,tm.fig.60,tm.mon.65,"""The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro""",Lhundrubteng,"""[The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro](tm.fig.60)|[Lhundrubteng](tm.mon.65)|||"""
234,,,False,,,tm.fig.60,tm.mon.17,"""The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro""",Pelpung,"""[The Second Dzongsar Khyentse, Jamyang Khyenste Chokyi Lodro](tm.fig.60)|[Pelpung](tm.mon.17)|||"""
235,,,False,,,tm.fig.61,tm.mon.55,Jikten Gonpo Rinchen Pel,Densatil,[Jikten Gonpo Rinchen Pel](tm.fig.61)|[Densatil](tm.mon.55)|||
